to,resultsSize,startTime,maxWorkers,time
720720,58084,1076321827730,1,290840815916
720720,58084,1367225151264,1,291387615803
720720,58084,1658643477235,1,278438275264
720720,58084,1937127234899,1,278406359526
720720,58084,2215566355452,1,278412696104
720720,58084,2494027662397,2,204721940674
720720,58084,2698783298022,2,204715441299
720720,58084,2903529989798,2,204732259299
720720,58084,3108289888033,2,204738063774
720720,58084,3313072275031,2,204776110272
720720,58084,3517888044136,3,150731133757
720720,58084,3668658094731,3,150720842650
720720,58084,3819405230389,3,150705003936
720720,58084,3970150946636,3,150695166819
720720,58084,4120878049811,3,150713589335
720720,58084,4271628416182,4,118433162958
720720,58084,4390099306858,4,118508460840
720720,58084,4508642850934,4,118413665762
720720,58084,4627083833386,4,118413099842
720720,58084,4745529854529,4,118392096323
720720,58084,4863951245738,5,100494569937
720720,58084,4964483220707,5,100530461939
720720,58084,5065049290355,5,100539396036
720720,58084,5165626748422,5,100966091920
720720,58084,5266623261698,5,100856458450
720720,58084,5367512523883,6,90898800366
720720,58084,5458433950699,6,91072984616
720720,58084,5549538675665,6,90014546450
720720,58084,5639579073242,6,91149321720
720720,58084,5730764964702,6,89932838356
720720,58084,5820720674855,7,87205260977
720720,58084,5907958614232,7,85978592184
720720,58084,5993985448812,7,84986758759
720720,58084,6079005290469,7,84652024615
720720,58084,6163688106200,7,85352065378
720720,58084,6249071506497,8,82445687960
720720,58084,6331540594705,8,81906802689
720720,58084,6413475232854,8,82243255439
720720,58084,6495749768184,8,83469292502
720720,58084,6579243363368,8,81863673771
720720,58084,6661135235891,9,83129761222
720720,58084,6744294808266,9,83083849438
720720,58084,6827406003838,9,82889916892
720720,58084,6910335972099,9,83471802885
720720,58084,6993830216679,9,81845992897
720720,58084,7075696451446,10,84792277656
720720,58084,7160515163509,10,84558325526
720720,58084,7245103417644,10,84855011157
720720,58084,7329983484132,10,105350592092
720720,58084,7435406921964,10,215807621276
720720,58084,7651240579086,11,272261660706
720720,58084,7923527211642,11,187668264796
720720,58084,8111254614942,11,162212989030
720720,58084,8273484681562,11,263552148469
720720,58084,8537062536106,11,235851556196
720720,58084,8772971377514,12,159080310931
720720,58084,8932147163365,12,216226631195
720720,58084,9148396287618,12,271102489617
720720,58084,9419521349758,12,191128119112
720720,58084,9610867477974,12,161534741011
720720,58084,9772454231459,13,261167032268
720720,58084,10033647384069,13,223727526703
720720,58084,10257521800464,13,159167165559
720720,58084,10416728356583,13,226851848151
720720,58084,10643603062392,13,257909513825
720720,58084,10901584191094,14,158995724428
720720,58084,11060632046860,14,191752439566
720720,58084,11252406693481,14,274343184079
720720,58084,11526789134062,14,216709408184
720720,58084,11743535967487,14,172666710237
720720,58084,11916248773651,15,224756999783
720720,58084,12141027603556,15,266111554034
720720,58084,12407171937645,15,164670376042
720720,58084,12571912591713,15,180398495794
720720,58084,12752348194444,15,272777947635
720720,58084,13025151409952,16,210425895879
720720,58084,13235624792020,16,158884453487
720720,58084,13394548585937,16,241446408190
720720,58084,13636015675502,16,248665133620
720720,58084,13884763141609,16,158821652509
